[2026-01-24 03:31:29,157][root][INFO] - download models from model hub: ms
[2026-01-24 03:31:29,220][root][WARNING] - trust_remote_code: True
[2026-01-24 03:31:49,411][root][INFO] - rank: 0, model is builded.
[2026-01-24 03:31:49,413][root][INFO] - Loading pretrained params from /mnt/d/ML/datasets--litagin--Galgame_Speech_ASR_16kHz/outputs-4000/model.pt
[2026-01-24 03:31:49,418][root][INFO] - ckpt: /mnt/d/ML/datasets--litagin--Galgame_Speech_ASR_16kHz/outputs-4000/model.pt
[2026-01-24 03:32:09,457][root][INFO] - scope_map: ['module.', 'None']
[2026-01-24 03:32:09,458][root][INFO] - excludes: None
[2026-01-24 03:32:09,645][root][INFO] - Loading ckpt: /mnt/d/ML/datasets--litagin--Galgame_Speech_ASR_16kHz/outputs-4000/model.pt, status: <All keys matched successfully>
[2026-01-24 03:32:10,413][root][INFO] - Building VAD model.
[2026-01-24 03:32:10,413][root][INFO] - download models from model hub: ms
[2026-01-24 03:32:11,384][root][WARNING] - trust_remote_code: False
[2026-01-24 03:32:11,387][root][INFO] - Loading pretrained params from /home/vanilla0302/.cache/modelscope/hub/models/iic/speech_fsmn_vad_zh-cn-16k-common-pytorch/model.pt
[2026-01-24 03:32:11,387][root][INFO] - ckpt: /home/vanilla0302/.cache/modelscope/hub/models/iic/speech_fsmn_vad_zh-cn-16k-common-pytorch/model.pt
[2026-01-24 03:32:11,390][root][INFO] - scope_map: ['module.', 'None']
[2026-01-24 03:32:11,390][root][INFO] - excludes: None
[2026-01-24 03:32:11,391][root][INFO] - Loading ckpt: /home/vanilla0302/.cache/modelscope/hub/models/iic/speech_fsmn_vad_zh-cn-16k-common-pytorch/model.pt, status: <All keys matched successfully>
[2026-01-24 03:46:34,955][root][INFO] - decoding, utt: fffb192a08b529b55bb5963a3545edea8c44d03c83d3da6e1cf5ec7fd23e92e8, empty speech
[2026-01-24 03:47:23,582][root][INFO] - decoding, utt: fffbea224263ebc34b0b61445f2572c18f241de326353b4500aeb4b536d3455a, empty speech
[2026-01-24 03:47:23,674][root][INFO] - decoding, utt: fffbea2cebb5f0cdee4e8927f505085f21a6e0444f020b237bd99405f000609d, empty speech
[2026-01-24 03:47:28,789][root][INFO] - decoding, utt: fffc0c661a5c718bb5e5e105e04474409adb3d1c5b8bdb746865a9db084a8887, empty speech
[2026-01-24 03:47:34,475][root][INFO] - decoding, utt: fffc20048713e03b8b557a29b3798d84dcbb233ded2ec86e51c1abceda736ad1, empty speech
[2026-01-24 03:48:17,919][root][INFO] - decoding, utt: fffcaf1b66ea24f58d54e889f87f6c7f836185a500c11ddd803e3cbe9dce0b8c, empty speech
[2026-01-24 03:48:26,668][root][INFO] - decoding, utt: fffce640f7eb3eb1f9c250962df49fbc6d4670736815695eb604cb729b6a796a, empty speech
[2026-01-24 03:48:56,846][root][INFO] - decoding, utt: fffd43b661c750f1d501decab4508c1522fbf42d65928c2bfb739b0457bcd7ee, empty speech
[2026-01-24 03:50:08,395][root][INFO] - decoding, utt: fffe61125ee3f9b71cdacf991bf8afdf154872e2fa6928fe7133ab299dd09332, empty speech
[2026-01-24 03:50:35,059][root][INFO] - decoding, utt: fffec9f6c0888d9e221f113eaedc905f5232d8e80297d95389392b8b2a8efecd, empty speech
[2026-01-24 03:50:36,828][root][INFO] - decoding, utt: fffeda5bf39302887a266dfa772a174123b9ceaf47b76d61a20fc8d334f9b651, empty speech
[2026-01-24 03:51:11,400][root][INFO] - decoding, utt: ffff66d8ec9e0b1b75ea29c5354299f9720eb7bb01d7d9381fe85439a12265f1, empty speech
[2026-01-24 03:51:15,681][root][INFO] - decoding, utt: ffff9d9421e8a6c27ef9fbc5172c153d79f766eb2dff99ab0c7a4b63a90bb31a, empty speech
